stt,category_id ,budget_id,name ,brand ,price ,image_path,description 
11,camera,1,Camera IP 360 Độ IMOU TA32CP-L,IMOU,500,/backend/data/images/camera/camera_01.jpg,"Camera IP 360 Độ IMOU TA32CP-L là giải pháp an ninh thông minh 2K sắc nét cho gia đình và cửa hàng. Với khả năng xoay 360 độ linh hoạt và đàm thoại 2 chiều, đây là lựa chọn hàng đầu cho cha mẹ cần giám sát con nhỏ, người già hoặc chủ shop quản lý từ xa qua điện thoại.
Thiết bị tích hợp AI nhận diện người lạ, tự động bám theo chuyển động và gửi cảnh báo tức thì về ứng dụng. Chế độ hồng ngoại ban đêm rõ nét giúp bảo vệ ngôi nhà 24/7. Với thiết kế nhỏ gọn, dễ lắp đặt và hỗ trợ lưu trữ thẻ nhớ 256GB, máy mang lại sự an tâm tuyệt đối và tiện lợi tối đa."
12,,1,Camera IP 360 Độ EZVIZ TY1,EZVIZ,470,/backend/data/images/camera/camera_02.jpg,"Camera IP 360 Độ EZVIZ TY1 là giải pháp an ninh gia đình thông minh với độ phân giải Full HD sắc nét và tầm nhìn ban đêm hồng ngoại 10m. Với khả năng quay quét 360 độ không điểm mù, đây là lựa chọn lý tưởng để giám sát phòng khách, cửa hàng hoặc theo dõi thú cưng từ xa qua ứng dụng điện thoại.
Thiết bị tích hợp tính năng theo dõi chuyển động thông minh và chế độ màn trập riêng tư giúp bảo vệ không gian cá nhân khi cần thiết. Với đàm thoại hai chiều to rõ và hỗ trợ thẻ nhớ 256GB, TY1 mang lại sự an tâm tuyệt đối, kết nối gia đình mọi lúc mọi nơi với chi phí cực kỳ hợp lý."
13,,1,Camera IP 360 Độ Dahua DH-H3AE,Dahua,390,/backend/data/images/camera/camera_03.jpg,"Camera IP 360 Độ Dahua DH-H3AE là giải pháp giám sát an ninh 3MP sắc nét, chuyên dùng cho gia đình và văn phòng hiện đại. Với khả năng quay quét toàn cảnh và đàm thoại hai chiều, đây là lựa chọn tối ưu cho chủ doanh nghiệp quản lý nhân viên hoặc cha mẹ theo dõi con cái từ xa với đường truyền ổn định vượt trội.
Thiết bị tích hợp AI nhận diện dáng người và phát hiện âm thanh bất thường (tiếng khóc, tiếng động lạ) để gửi cảnh báo tức thì. Chế độ hồng ngoại thông minh giúp quan sát ban đêm rõ nét trong phạm vi 10m. Với thiết kế cứng cáp, hỗ trợ thẻ nhớ 256GB và cài đặt nhanh chóng, máy mang lại sự bảo vệ tin cậy và chuyên nghiệp 24/7."
14,,2,Camera IP Ngoài Trời 360 Độ TP-Link Tapo C501,TP-Link,1150,/backend/data/images/camera/camera_04.jpg,"Camera IP Ngoài Trời 360 Độ TP-Link Tapo C500 là giải pháp an ninh ngoài trời bền bỉ với chuẩn kháng nước IP65. Với khả năng xoay quét 360 độ và độ phân giải Full HD sắc nét, đây là lựa chọn hàng đầu để giám sát sân vườn, bãi đỗ xe hoặc cổng nhà, giúp bao quát toàn cảnh không gian rộng lớn.
Thiết bị tích hợp AI nhận diện người thông minh, tự động bám theo chuyển động và gửi thông báo tức thì. Chế độ ban đêm rõ nét, đàm thoại hai chiều và báo động âm thanh/ánh sáng giúp xua đuổi kẻ đột nhập hiệu quả. Với thiết kế linh hoạt dễ lắp đặt trên tường hoặc trần, Tapo C500 mang lại sự an tâm tuyệt đối trước mọi điều kiện thời tiết khắc nghiệt."
15,,2,Camera IP Ngoài Trời 360 Độ TP-Link Tapo C510,TP-Link,1350,/backend/data/images/camera/camera_05.jpg,"Camera Ngoài Trời TP-Link Tapo C510W là giải pháp an ninh 2K siêu nét với khả năng xoay quét 360 độ toàn diện. Với chuẩn kháng nước IP65 và chế độ xem đêm có màu sắc nét, đây là lựa chọn hàng đầu để bảo vệ sân vườn, bãi xe hoặc cổng nhà, giúp nhận diện rõ khuôn mặt và biển số xe ngay cả trong bóng tối.
Thiết bị tích hợp AI nhận diện người thông minh, tự động bám theo chuyển động và phát còi báo động ánh sáng xua đuổi kẻ đột nhập. Với khả năng đàm thoại hai chiều to rõ và thiết kế linh hoạt, Tapo C510W mang lại sự an tâm tuyệt đối, giúp bạn làm chủ an ninh ngôi nhà mọi lúc mọi nơi từ xa qua điện thoại."
16,,2,Camera IP 360 Độ Ezviz C6C,EZVIZ,1290,/backend/data/images/camera/camera_06.jpg,"Camera IP 360 Độ EZVIZ C6C là giải pháp giám sát trong nhà Full HD sắc nét với khả năng quay quét toàn cảnh không điểm mù. Sản phẩm cực kỳ phù hợp cho gia đình có trẻ nhỏ, người già hoặc thú cưng, giúp bạn quan sát mọi ngóc ngách phòng khách, phòng ngủ từ xa qua điện thoại một cách dễ dàng.
Thiết bị tích hợp AI tự động theo dõi chuyển động và chế độ màn trập riêng tư giúp bảo vệ không gian cá nhân khi cần. Với đèn hồng ngoại ban đêm 10m, đàm thoại hai chiều to rõ và khả năng lắp đặt linh hoạt, C6C mang lại sự an tâm tuyệt đối và kết nối gia đình trọn vẹn với chi phí tối ưu."
17,,2,Camera IP 360 Độ TIANDY TC-H322N,Tiandy,1000,/backend/data/images/camera/camera_07.jpg,"Camera IP 360 Độ Tiandy TC-H322N là giải pháp giám sát trong nhà 2MP sắc nét với khả năng quay quét toàn cảnh không điểm mù. Sản phẩm cực kỳ phù hợp cho gia đình, cửa hàng nhỏ hoặc văn phòng cần một thiết bị an ninh ổn định, dễ lắp đặt và quản lý từ xa qua điện thoại với chi phí tối ưu.
Thiết bị tích hợp chuẩn nén S+265 giúp tiết kiệm đến 75% không gian lưu trữ và băng thông truyền tải. Với đèn hồng ngoại ban đêm 10m, đàm thoại hai chiều to rõ và tính năng phát hiện chuyển động thông minh, TC-H322N mang lại sự an tâm tuyệt đối và kết nối thông suốt 24/7."
18,,3,Camera IP Ngoài trời 360 Độ Dahua DH-P3AS-PV,Dahua,1650,/backend/data/images/camera/camera_08.jpg,"Camera Ngoài Trời Dahua DH-P3AS-PV là giải pháp an ninh chuyên nghiệp với độ phân giải 3MP sắc nét và khả năng quay quét 360 độ toàn diện. Với chuẩn kháng nước IP66 và chế độ ban đêm có màu, đây là lựa chọn hàng đầu để bảo vệ sân vườn, cửa tiệm hoặc bãi xe, giúp nhận diện rõ mọi chi tiết dưới mọi điều kiện thời tiết.
Thiết bị tích hợp AI nhận diện người và xe thông minh, tự động phát còi hú và đèn chớp để báo động chủ động khi có xâm nhập trái phép. Với đàm thoại hai chiều to rõ và khả năng lưu trữ linh hoạt, DH-P3AS-PV mang lại sự an tâm tuyệt đối và giải pháp phòng thủ từ xa hiệu quả cho mọi không gian ngoại thất."
19,,3,Camera IP Ngoài Trời 360 Độ Ezviz H8,EZVIZ,1500,/backend/data/images/camera/camera_09.jpg,"Camera IP Ngoài Trời EZVIZ H8 là giải pháp an ninh 360 độ mạnh mẽ với độ phân giải 2K sắc nét và khả năng chống chịu thời tiết khắc nghiệt. Với thiết kế xoay bốn chiều không điểm mù, đây là lựa chọn hoàn hảo để giám sát sân vườn, cổng nhà hoặc trang trại, giúp bao quát toàn bộ không gian rộng lớn chỉ với một thiết bị duy nhất.
Máy tích hợp AI nhận diện dáng người, tự động theo dõi chuyển động và quay trở lại điểm quan sát cố định chỉ bằng một cú chạm. Chế độ ghi hình màu ban đêm, còi hú báo động và đàm thoại hai chiều giúp bảo vệ ngôi nhà chủ động và hiệu quả 24/7 qua ứng dụng di động."
20,,3,Camera IP Ngoài Trời 360 Độ Ezviz H8C Pro,EZVIZ,1690,/backend/data/images/camera/camera_10.jpg,"Camera Ngoài Trời EZVIZ H8C Pro là giải pháp an ninh 2K+ siêu nét với khả năng quay quét 360 độ không điểm mù. Với chuẩn kháng nước IP65 và ghi hình màu ban đêm, đây là lựa chọn hàng đầu để bảo vệ sân vườn, bãi đỗ xe hoặc cổng nhà, giúp nhận diện rõ mọi chi tiết dưới mọi điều kiện thời tiết khắc nghiệt.
Thiết bị tích hợp AI nhận diện dáng người và xe thông minh, tự động bám theo chuyển động và phát còi hú kèm đèn chớp để báo động chủ động. Với đàm thoại hai chiều to rõ và thiết kế linh hoạt, H8C Pro mang lại sự an tâm tuyệt đối và giải pháp phòng thủ từ xa hiệu quả 24/7 qua điện thoại."
21, smartwatch,1,Vòng đeo tay thông minh Huawei Band 11 viền nhôm dây Fluor,Huawei,990,/backend/data/images/smartwatch/smartwatch_01.jpg,"Vòng đeo tay thông minh Huawei Band 11 là sự kết hợp hoàn hảo giữa thiết kế viền nhôm sang trọng và dây đeo Fluor bền bỉ, êm ái. Sản phẩm hướng tới những người năng động, nhân viên văn phòng và người yêu thể thao cần một thiết bị theo dõi sức khỏe chuyên nghiệp, mỏng nhẹ nhưng vẫn đầy đủ tính năng cao cấp.
Máy sở hữu màn hình AMOLED rực rỡ, tích hợp AI theo dõi nhịp tim, giấc ngủ và nồng độ oxy trong máu (SpO2) chính xác 24/7. Với hơn 100 chế độ tập luyện, khả năng kháng nước 5ATM và thời lượng pin ấn tượng lên đến 14 ngày, Huawei Band 11 mang lại sự tiện lợi tối đa, giúp bạn làm chủ sức khỏe và phong cách sống hiện đại."
22,,1,Đồng hồ định vị trẻ em Masstel Smart Hero Star,Masstel,950,/backend/data/images/smartwatch/smartwatch_02.jpg,"Đồng hồ định vị trẻ em Masstel Smart Hero Star là thiết bị an toàn thông minh giúp phụ huynh luôn kết nối và bảo vệ con cái từ xa. Với công nghệ định vị đa chế độ (GPS, Wi-Fi, LBS) chính xác, đây là lựa chọn số một cho cha mẹ có con trong độ tuổi đi học, cần giám sát hành trình và liên lạc nhanh chóng.
Sản phẩm hỗ trợ nghe gọi video 4G sắc nét, chụp ảnh từ xa và thiết lập vùng an toàn thông minh. Với nút bấm SOS khẩn cấp, chế độ lớp học tập trung và khả năng kháng nước bền bỉ, Smart Hero Star mang lại sự an tâm tuyệt đối cho gia đình, giúp trẻ tự tin khám phá thế giới trong tầm kiểm soát an toàn của cha mẹ."
23,,1,Vòng tay thông minh Samsung Galaxy Fit3,Samsung,890,/backend/data/images/smartwatch/smartwatch_03.jpg,"Vòng tay thông minh Samsung Galaxy Fit3 là thiết bị theo dõi sức khỏe tối ưu với màn hình AMOLED 1.6 inch rộng rãi và khung nhôm bền bỉ. Sản phẩm dành cho người dùng trẻ năng động, nhân viên văn phòng và người dùng hệ sinh thái Galaxy cần một thiết bị hỗ trợ tập luyện chuyên sâu, gọn nhẹ với mức giá cực kỳ tiếp cận.Máy tích hợp hơn 100 chế độ tập luyện, theo dõi giấc ngủ chi tiết và nồng độ oxy trong máu (SpO2). Điểm vượt trội là tính năng phát hiện té ngã, SOS khẩn cấp và thời lượng pin ấn tượng lên đến 13 ngày. Với chuẩn kháng nước 5ATM/IP68 và khả năng đồng bộ thông báo thông minh, Galaxy Fit3 giúp bạn duy trì lối sống lành mạnh và kết nối xuyên suốt mọi lúc mọi nơi."
24,,2,Garmin Forerunner 165 43mm dây silicone,Garmin,3990,/backend/data/images/smartwatch/smartwatch_04.jpg,"Garmin Forerunner 165 43mm là đồng hồ chạy bộ chuyên dụng với màn hình AMOLED rực rỡ và dây silicone êm ái, bền bỉ. Sản phẩm dành riêng cho người mới bắt đầu chạy bộ, vận động viên phong trào và những ai cần một huấn luyện viên ảo ngay trên cổ tay để cải thiện thành tích cá nhân (PR) một cách khoa học.Máy tích hợp GPS chính xác, cảm biến nhịp tim thế hệ mới và tính năng Garmin Coach cá nhân hóa lộ trình tập luyện. Điểm vượt trội là khả năng đo động lực học chạy bộ, đánh giá trạng thái phục hồi và theo dõi giấc ngủ chuyên sâu. Với thời lượng pin lên đến 11 ngày và thiết kế siêu nhẹ, Forerunner 165 là người bạn đồng hành tin cậy trên mọi cung đường và trong cuộc sống hàng ngày."
25,,2,Đồng Hồ Định Vị Trẻ Em imoo Z1 Xanh dương,imoo,1390,/backend/data/images/smartwatch/smartwatch_05.jpg,"Đồng hồ định vị trẻ em imoo Z1 (Xanh dương) là thiết bị liên lạc thông minh cao cấp với khả năng gọi Video Call 4G sắc nét và âm thanh to rõ. Sản phẩm dành cho phụ huynh muốn giữ kết nối liên tục với con cái, đảm bảo an toàn tuyệt đối cho bé khi đi học, đi dã ngoại hay vui chơi ngoài trời.
Máy sở hữu công nghệ định vị GPS chính xác, chế độ lớp học tập trung và khả năng kháng nước IPX8 bền bỉ nhất phân khúc. Với dung lượng pin lớn cho thời gian chờ lên đến 7 ngày và thiết kế màu xanh năng động, imoo Z1 không chỉ là món đồ chơi công nghệ yêu thích của trẻ mà còn là ""vệ sĩ ảo"" đáng tin cậy giúp cha mẹ luôn an tâm mọi lúc mọi nơi."
26,,2,Xiaomi Redmi Watch 5 47.5 mm dây TPU,Xiaomi,2650,/backend/data/images/smartwatch/smartwatch_06.jpg,"Xiaomi Redmi Watch 5 (47.5 mm) thiết lập chuẩn mực mới cho smartwatch phân khúc tầm trung với màn hình AMOLED 2.07 inch rực rỡ và viền siêu mỏng. Với khung hợp kim nhôm sang trọng và dây TPU bền bỉ, đây là lựa chọn tối ưu cho người dùng trẻ cần một thiết bị thời thượng, hỗ trợ nghe gọi Bluetooth rõ nét nhờ công nghệ chống ồn 2-MIC và hệ điều hành HyperOS mượt mà.
Đồng hồ tích hợp GPS đa hệ thống, hơn 150 chế độ thể thao và khả năng kháng nước 5ATM. Điểm ấn tượng nhất là viên pin 550mAh cho thời gian sử dụng lên đến 24 ngày, đi kèm các tính năng theo dõi sức khỏe chuyên sâu như SpO2, nhịp tim và giấc ngủ, giúp bạn làm chủ cuộc sống năng động một cách trọn vẹn."
27,,2,Đồng hồ định vị trẻ em Kidcare Sight S26 4G,Kidcare,1590,/backend/data/images/smartwatch/smartwatch_07.jpg,"Đồng hồ định vị trẻ em Kidcare Sight S26 4G là người bạn đồng hành an toàn với màn hình 1.8 inch rõ nét và dây đeo cao su êm ái. Sản phẩm hỗ trợ Video Call 4G sắc nét, giúp cha mẹ dễ dàng quan sát và liên lạc với con mọi lúc mọi nơi. Với hệ thống định vị GPS/GLONASS chính xác, đây là lựa chọn tối ưu để giám sát hành trình của trẻ khi đi học hoặc dã ngoại.
Thiết bị tích hợp các tính năng bảo vệ chủ động như nút SOS khẩn cấp, thiết lập vùng an toàn và chặn số lạ. Với chuẩn kháng nước IP68 bền bỉ, chế độ lớp học tập trung và thời lượng pin ổn định, Sight S26 giúp bé tự do khám phá trong khi phụ huynh hoàn toàn an tâm quản lý qua ứng dụng chuyên dụng."
28,,3,Apple Watch SE 3 GPS 40mm viền nhôm dây thể thao,Apple,6790,/backend/data/images/smartwatch/smartwatch_08.jpg,"Apple Watch SE 3 GPS 40mm là sự kết hợp hoàn hảo giữa hiệu năng mạnh mẽ của chip S10 và thiết kế nhôm tái chế bền bỉ. Với màn hình Retina Always-On lần đầu xuất hiện trên dòng SE và độ sáng 1000 nit, đây là lựa chọn tối ưu cho người dùng iPhone muốn trải nghiệm hệ sinh thái Apple đầy đủ với chi phí hợp lý.



Thiết bị tích hợp các tính năng sức khỏe tiên tiến như phát hiện ngưng thở khi ngủ, theo dõi chu kỳ qua cảm biến nhiệt độ và cảnh báo va chạm. Với khả năng kháng nước 50m, sạc nhanh gấp đôi thế hệ trước và hệ điều hành watchOS 26 mượt mà, SE 3 là người đồng hành đáng tin cậy cho sức khỏe và kết nối thông minh mỗi ngày."
29,,3,Garmin Lily 2 34mm dây silicone,Garmin,6290,/backend/data/images/smartwatch/smartwatch_09.jpg,"Garmin Lily 2 34mm là chiếc đồng hồ thông minh nhỏ nhắn nhất với mặt kính họa tiết tinh xảo và màn hình ẩn độc đáo. Với dây silicone êm ái và viền kim loại sang trọng, đây là lựa chọn hoàn mỹ cho phụ nữ hiện đại cần một món trang sức thời thượng tích hợp các tính năng theo dõi sức khỏe chuyên sâu như nhịp tim, mức độ căng thẳng và năng lượng cơ thể (Body Battery).Thiết bị hỗ trợ theo dõi chu kỳ kinh nguyệt, thai kỳ và các chế độ tập luyện thể thao như Yoga, Pilates, Khiêu vũ. Với khả năng kết nối GPS qua điện thoại, thông báo thông minh và tính năng an toàn, Lily 2 giúp phái đẹp luôn rạng rỡ, tự tin và làm chủ sức khỏe mỗi ngày với thời lượng pin lên đến 5 ngày."
30,,3,Garmin Forerunner 965 47.2mm dây silicone,Garmin,16490,/backend/data/images/smartwatch/smartwatch_10.jpg,"Garmin Forerunner 965 47.2mm là đỉnh cao của đồng hồ chạy bộ và ba môn phối hợp với màn hình AMOLED 1.4 inch rực rỡ và viền Titanium siêu nhẹ. Đây là lựa chọn số một cho vận động viên chuyên nghiệp và người chơi Marathon cần bản đồ ngoại tuyến màu, GPS đa băng tần (GNSS) chính xác tuyệt đối trên mọi địa hình hiểm trở.



Thiết bị tích hợp các chỉ số chuyên sâu như Sẵn sàng tập luyện, Động lực học chạy bộ trên cổ tay và đề xuất bài tập hàng ngày cá nhân hóa. Với thời lượng pin ấn tượng lên đến 23 ngày ở chế độ đồng hồ thông minh và khả năng lưu trữ nhạc trực tiếp, Forerunner 965 không chỉ là một thiết bị theo dõi mà còn là người trợ lý bền bỉ, giúp bạn phá vỡ mọi giới hạn cá nhân."
31,tablet,1,Máy tính bảng Masstel Tab 11 Ultra 4G 4GB/128GB,Masstel,3790,/backend/data/images/tablet/tablet_01.jpg,"Máy tính bảng Masstel Tab 11 Ultra 4G là giải pháp giải trí và học tập lý tưởng với màn hình 10.95 inch IPS LCD sắc nét và thiết kế mặt lưng nhôm sang trọng. Với cấu hình 4GB RAM và 128GB bộ nhớ trong (hỗ trợ thẻ nhớ 1TB), máy đáp ứng mượt mà các tác vụ văn phòng, học online và xem phim giải trí mỗi ngày.Thiết bị sở hữu viên pin lớn 8000 mAh cùng sạc nhanh 18W, đảm bảo hoạt động bền bỉ suốt cả ngày dài. Tích hợp kết nối 4G LTE linh hoạt, camera sau 13MP và hệ điều hành Android 15 hiện đại, Tab 11 Ultra là lựa chọn kinh tế cho học sinh, sinh viên và người dùng cần một chiếc tablet màn hình lớn, đa năng với mức giá cực kỳ tiếp cận."
32,,1,Máy tính bảng HONOR Pad X7 WiFi 4GB/64GB,Honor,3690,/backend/data/images/tablet/tablet_02.jpg,"Máy tính bảng HONOR Pad X7 WiFi là sự kết hợp hoàn hảo giữa thiết kế kim loại mỏng nhẹ và hiệu năng ổn định từ chip Snapdragon 680. Với màn hình 8.7 inch 90Hz đạt chuẩn bảo vệ mắt TÜV Rheinland, đây là lựa chọn lý tưởng cho học sinh học tập online, người già đọc báo hoặc trẻ em giải trí an toàn qua Google Kids Space.
Thiết bị sở hữu viên pin lớn 7020 mAh hỗ trợ sạc ngược tiện lợi và hệ thống âm thanh vòm sống động. Chạy trên hệ điều hành Android 15 tích hợp AI Gemini thông minh, HONOR Pad X7 mang đến trải nghiệm mượt mà, cơ động và bền bỉ, đáp ứng trọn vẹn nhu cầu kết nối và giải trí hàng ngày với mức giá cực kỳ hấp dẫn."
33,,1,Máy tính bảng Samsung Galaxy Tab A11 4G 4GB/64GB,Samsung,4990,/backend/data/images/tablet/tablet_03.jpg,"Máy tính bảng Samsung Galaxy Tab A11 4G là thiết bị giải trí di động nhỏ gọn với màn hình 8.7 inch hỗ trợ tần số quét 90Hz mượt mà. Với thiết kế nhôm nguyên khối sang trọng và trọng lượng siêu nhẹ chỉ 335g, đây là lựa chọn hoàn hảo cho người dùng thường xuyên di chuyển, học sinh học tập online hoặc nhân viên kinh doanh cần một thiết bị hỗ trợ công việc linh hoạt mọi lúc mọi nơi qua kết nối 4G LTE.
Máy trang bị chip MediaTek Helio G99 ổn định, loa kép Dolby Atmos sống động và viên pin 5100 mAh đáp ứng tốt nhu cầu sử dụng cả ngày. Tích hợp hệ điều hành Android 15 với giao diện One UI hiện đại, Tab A11 mang đến trải nghiệm mượt mà, hỗ trợ mở khóa khuôn mặt tiện lợi và lưu trữ mở rộng lên đến 1TB, giúp bạn làm chủ mọi tác vụ giải trí và học tập cơ bản."
